title,tagline
The Kids Are All Right,"Nic and Jules had the perfect family, until they met the man who made it all possible."
A Serbian Film,Not all films have a happy ending.
Cherrybomb,Two guys.One girl.Game on.
Batman: Under the Red Hood,Dare to Look Beneath the Hood.
Salt,Who is Salt?
Winnebago Man,Will you do me a kindness?
Mr. Nobody,"Nothing is real, everything is possible."
Dinner for Schmucks,Takes One To Know One.
The Northerners,
Ip Man 2,Behind every great martial artist lies a teacher.
Charlie St. Cloud,Life is for living.
The Rebound,She's still got it. He's just getting it.
The Other Guys,When the cops are busy... Our only hope is...
The Two Escobars,Sometimes it really is a matter of life and death.
All Tomorrow's Parties,
The Expendables,Choose Your Weapon.
Scott Pilgrim vs. the World,Get the hot girl. Defeat her evil exes. Hit love where it hurts.
Animal Kingdom,A crime story.
Centurion,History is written in blood
Babies,Everybody loves...
Heartless,The darker it gets the more you see
Piranha 3D,There's something in the water.
The Joneses,"They're not just living the American dream, they're selling it."
TEKKEN,Survival is no game
Dragon Ball Z: Dead Zone,
The American,
The Switch,The most unexpected comedy ever conceived.
Gasland,Can you light your water on fire?
Hated:  GG Allin & the Murder Junkies,GG Allin is God
Machete,He was given an offer he couldn't refuse...
Going the Distance,A comedy about meeting each other halfway.
A Song to Remember,
Vampires Suck,Some sagas just won't die.
Resident Evil: Afterlife,She's back...And she's bringing a few of her friends.
The Social Network,You don't get to 500 million friends without making a few enemies.
The Town,Welcome to the bank robbery capital of America.
Easy A,The rumour-filled totally false account of how I ruined my flawless reputation.
Eat Pray Love,Let Yourself GO
Howl,The Obscenity Trial That Started a Revolution. The Poem That Rocked a Generation.
I'm Still Here,
"Patrik, Age 1.5",No family could be happier!
Flipped,You never forget your first love.
Wall Street: Money Never Sleeps,Gordon never gives up.
Buster Keaton: A Hard Act to Follow,
Legend of the Guardians: The Owls of Ga'Hoole,On his way to finding a legend...he will become one.
It's Kind of a Funny Story,Sometimes what's in your head isn't as crazy as you think.
Abel,
Middle Men,"Business is a lot like sex ... getting in is easy, pulling out is hard."
The Poughkeepsie Tapes,The last thing his victims saw... was his camera.
Alice in Wonderland,The Entertainment Miracle Of All Times!
Let Me In,Innocence dies. Abby doesn't.
Secretariat,The Impossible True Story
Lake Mungo,If you've never seen a ghost... Look closer.
Devil,Bad Things Happen For A Reason
You Again,What doesn't kill you... is going to marry your brother.
Life As We Know It,A comedy about taking it one step at a time.
Catfish,Don't let anyone tell you what it is.
You Will Meet a Tall Dark Stranger,
Inside Job,"The film that cost $20,000,000,000,000 to make."
Monsters,"After Six Years, They're No Longer Aliens. They're Residents"
Never Let Me Go,These students have everything they need. Except time.
The Illusionist,"When life loses its wonder, all it takes is one person who still believes in magic."
Love Is Colder Than Death,
Kaboom,Blow your mind.
Rubber,Are you TIRED of the expected?
Seven Days,Seven Days
Jackass 3D,Don't try this at home
Restrepo,"One platoon, one valley, one year"
Waiting for 'Superman',"The fate of our country won't be decided on a battlefield, it will be determined in a classroom."
RED,Still armed. Still dangerous. Still got it.
Paranormal Activity 2,In 2009 you demanded it. Nothing can prepare you for what's next.
Hereafter,Touched by death. Changed by life.
Black Death,In an age of darkness one man will face the ultimate battle against evil.
Saw: The Final Chapter,The Traps Come Alive
Due Date,Leave Your Comfort Zone
127 Hours,There is no force more powerful than the will to live.
Megamind,His brain is off the chain.
Black Swan,"In the era of personal branding, the scariest possibility is that someone might be better at being you than you are."
Fair Game,Wife. Mother. Spy.
1990: The Bronx Warriors,The first to die were the lucky ones!
Unstoppable,"1,000,000 Tons. 100,000 Lives. 100 Minutes."
Morning Glory,Breakfast TV just got interesting.
Certified Copy,
The Next Three Days,What if you had 72 hours to save everything you live for?
Biutiful,"You don't choose your family. We all belong to somebody, but to belong to Uxbal and Marambra, is both a blessing and a curse."
The First Beautiful Thing,
Harry Potter and the Deathly Hallows: Part 1,One Way… One Fate… One Hero.
The King's Speech,Find your voice.
Tangled,They're taking adventure to new lengths.
The Agony and Ecstasy of Phil Spector,
The Art of the Steal,The true story of a multi-billion dollar art heist and how they got away with it.
The Fighter,Every dream deserves a fighting chance.
The Romantics,
Cocaine Cowboys II: Hustlin' with the Godmother,True story of the Cocaine Queen.
The Tillman Story,a mystery. a cover up. a crime. one family will risk everything for the truth.
The Loved Ones,Don't break her heart
London Boulevard,Not every criminal wants to be one.
Skyline,Don't look up
Bunny and the Bull,
Beastly,Love is never ugly.
Love & Other Drugs,Addicted to one-night stands or dependent on one another?
The Chronicles of Narnia: The Voyage of the Dawn Treader,Return to magic. Return to hope. Return to Narnia.
Tiny Furniture,"Aura would like you to know that she is having a very, very hard time."
The Tourist,It all started when he met a woman
Rare Exports: A Christmas Tale,He knows if you've been naughty. He knows if you've been nice. And he doesn't give a sh*t.
Nightfall,
All Good Things,The perfect love story. Until it became the perfect crime.
True Grit,Punishment Comes One Way or Another.
TRON: Legacy,The Game Has Changed.
Another Year,
How Do You Know,How do you know it's love?
Barney's Version,First he got married. Then he got married again. Then he met the love of his life.
The Company Men,"In America, we give our lives to our jobs. It's time to take them back."
Zerophillia,
I Saw the Devil,Abandon all compassion.
Little Fockers,"Kids bring everyone closer, right?"
Gulliver's Travels,Something big is going down.
The Last Circus,
The Most Dangerous Man in America: Daniel Ellsberg and the Pentagon Papers,Half of democracy is just showing up.
Burlesque,It takes a legend... to make a star
The Haunted House,
The Secret World of Arrietty,Do not be seen by humans. That's been the law of children of the underfloor.
Tucker and Dale vs Evil,Evil just messed with the wrong hillbillies.
Yogi Bear,Life's a Pic-A-Nic
Made in Dagenham,"In the fight for equal rights, an ordinary woman achieves something extraordinary."
Waste Land,What happens in the world's largest trash city will transform you.
The Goat,"A great short delivered with wit, imagination and hilarious physical comedy"
The Boat,
Who Is Harry Nilsson (And Why Is Everybody Talkin' About Him?),
The Green Hornet,Breaking the Law to Protect It.
The Play House,
The Paleface,
The Warrior's Way,Assassin. Hero. Legend.
Cops,
Season of the Witch,Not all souls can be saved.
Ricky Gervais Live 4: Science,
The Fern Flower,
Cowboys & Aliens,First Contact. Last Stand.
Day & Night,
Marwencol,"When his world was stolen, Mark Hogancamp made a world of his own."
Scorpio Rising,
The Dilemma,Two best friends. Nothing could come between them... or could it?
The Trip,"Eat, drink and try not to kill each other."
Phone Call from a Stranger,
Poetry,
Limitless,What if a pill could make you rich and powerful?
Transcendent Man,
Carrie Fisher: Wishful Drinking,A show where one woman reconciles herself to being Carrie Fisher.
Evangelion: 2.0 You Can (Not) Advance,"In The War Between Heaven and Earth, Salvation is Machine"
The White Stripes: Under Great White Northern Lights,
What Women Want,
Home Alone 4,
No Strings Attached,Friendship has its benefits.
The Lincoln Lawyer,This Case is a Dangerous Game of Life and Death
The Rite,You can only defeat it when you believe.
All Star Superman,"The measure of a man lies not in what he says, but what he does."
Silent Souls,
Unknown,Take Back Your Life
Cedar Rapids,Today is the first day... of the rest of his weekend.
Gnomeo & Juliet,A little adventure goes a lawn way.
Burke & Hare,No Job Too Small. No Body Too Big. No Questions Asked.
Paul,Who's up for a close encounter?
Brother 2,Danila returns!
Emma,
Rango,Heroes come in all different colors.
Take Me Home Tonight,Best. Night. Ever.
Confessions,
The Adjustment Bureau,Fight for your fate.
Cropsey,The Truth is Terrifying.
The Mechanic,Someone has to fix the problems.
Hall Pass,"One Week, No Rules"
The Eagle,The destiny of a soldier. The honour of a slave. The fate of an empire.
I Am Number Four,Three like him have already been killed…he is Number Four.
Battle: Los Angeles,It's not war. It's survival.
Summer Wars,
The Sunset Limited,Nothing is ever black or white.
Mars Needs Moms,Mom needs a little space.
Winnie the Pooh and Tigger Too,It's POOH-fectly TIGGER-ific and it's ALL NEW
Elite Squad: The Enemy Within,The masterminds of the organized crime in Rio
Just Go with It,Sometimes a guy's best wingman... is a wingwoman
Cave of Forgotten Dreams,Humanity's Lost Masterpiece... in 3D
Red Riding Hood,Who's afraid?
"Big Mommas: Like Father, Like Son",Momma's got back-up.
Super,"Shut up, crime!"
Troll Hunter,You believe it when you see it!
Source Code,Make Every Second Count
Jane Eyre,She sought refuge... and found a place haunted by secrets.
Sucker Punch,You will be unprepared
The New Daughter,How Far Will A Father Go To Protect The Ones He Loves?
Eden,
BURN·E,
Senna,The legend of the greatest driver who ever lived.
Insidious,It's not the house that's haunted.
Hobo with a Shotgun,"Delivering justice, one shell at a time..."
Win Win,"In the game of life, you can't lose 'em all."
Boy,"Summer, Girls, Gangs, Drugs ... its not easy being eleven."
Diary of a Wimpy Kid: Rodrick Rules,Welcome to the next grade
Henry's Crime,The real crime is not committing to your dreams.
Hop,"Candy, chicks and rock 'n' roll."
13 Assassins,Take up your sword.
Hanna,Adapt or die.
American: The Bill Hicks Story,
Arthur,Meet the world's only loveable billionaire.
Rio,1 out of every 8 Americans is afraid of flying. Most of them don't have feathers.
Melancholia,Enjoy it while it lasts
Thor,Two worlds. One hero.
Louis C.K.: Hilarious,
Louis C.K.: Chewed Up,
Louis C.K.: Shameless,
Mildred Pierce,Having It All Would Cost Her Everything.
Voices from the List,
Water for Elephants,Life is the most spectacular show on earth.
African Cats,
Film Socialisme,Freedom is costly
Fast Five,Get the Fifth Gear.
Idiots and Angels,
Incendies,The search began at the opening of their mother's will.
Something Borrowed,It's a thin line between love and friendship.
Bridesmaids,Save the date
Priest,Vampire Killer
The Beaver,He's here to save Walter's life.
Mothra,Mightiest Monster In All Creation Ravishing a Universe for Love
Pirates of the Caribbean: On Stranger Tides,Live Forever Or Die Trying.
Midnight in Paris,
The Kid with a Bike,
The Man from Nowhere,"Nothing to lose, nothing to compromise."
The Tree of Life,Nothing stands still.
The Hangover Part II,The Wolfpack Is Back
Destroy All Monsters,Monsters of mass destruction.
Attack the Block,Inner City vs. Outer Space
The Tunnel,The light runs out
He Ran All The Way,DYNAMITE hits the screen with their kind of love!
Kung Fu Panda 2,Prepare for the Year of Awesomeness!
X-Men: First Class,Witness the moment that will change our world.
Submarine,A comedy that doesn't let principles stand in the way of progress.
Everything Must Go,Lost is a good place to find yourself
Beginners,This is what love feels like.
Super 8,It Arrives.
Curly Top,
Green Lantern,"In our darkest hour, there will be light."
Elektra Luxx,From adult film star to functioning adult.
Mr. Popper's Penguins,
Bad Teacher,She doesn't give an F.
Transformers: Dark of the Moon,The invasion we always feared. An enemy we never expected.
Larry Crowne,Rediscover life and love
Your Highness,Get your quest on.
The Dolly Sisters,
Too Big to Fail,
Takers,Who's Taking Who?
Horrible Bosses,Ever wish your boss was dead?
Cars 2,Ka-ciao!
Savage Messiah,Every man has a dream that must be realised... a love that must come true... a life that must not stop.
Page One: Inside the New York Times,"This year, the biggest story is their own."
Burn Notice: The Fall of Sam Axe,
To Sleep with Anger,"When Harry comes to town, he brings good times, bad times... And a lot of trouble!"
Mahler,
The Perfect Host,Dinner Parties Are A Dying Art.
Harry Potter and the Deathly Hallows: Part 2,It all ends here.
Drive,There are no clean getaways.
Captain America: The First Avenger,When patriots become heroes
"Crazy, Stupid, Love.",This Is Stupid
One Day,Twenty years. Two people.
The Guard,The FBI are about to discover that things work a little differently around here.
Winnie the Pooh,Oh Pooh.
The Woman,Not every monster lives in the wild.
Mike's New Car,
The Smurfs,Smurf Happens.
Dylan Dog: Dead of Night,No pulse? No problem
Friends with Benefits,Some friends come with a happy ending.
Our Idiot Brother,Everybody has one
A Letter to Elia,
Rise of the Planet of the Apes,Evolution Becomes Revolution.
The Change-Up,Who says men can't change?
The Help,Change begins with a whisper.
30 Minutes or Less,A lot can happen in 30 minutes.
Gantz,
Final Destination 5,We all share a common destination.
The Conspirator,One bullet killed the President. But not one man.
A Very Harold & Kumar Christmas,Christmas comes prematurely.
Carancho,
Fright Night,You can't run from evil when it lives next door.
Another Earth,
Rocky VI,
Hesher,Sometimes life gives you the finger and sometimes it gives you...
Stake Land,The Most Dangerous Thing Is To Be Alive.
The Debt,Every secret comes with a price.
Colombiana,Revenge is beautiful.
Bill Cunningham New York,"He who seeks beauty, will find it."
Freakonomics,Things you always thought you knew but didn't
The Skin I Live In,
Prom,"There are hundreds of nights in high school, but there’s only one prom."
Magic Trip,A drug-fuelled road trip in the 60s
Project Nim,The world will be a different place once you've seen it through his eyes.
Win/Win,
The Inbetweeners Movie,This year four boys become men.
The Future,
The Interrupters,Every City Needs Its Heroes
Red State,Fear God.
Chinese Take-Out,
I Don't Know How She Does It,"If it were easy, men would do it too."
April Love,
Shark Night,Terror runs deep.
Contagion,Nothing spreads like fear
Moneyball,What are you really worth?
Northanger Abbey,
The Avengers,Some assembly required.
Tinker Tailor Soldier Spy,How do you find an enemy who is hidden right before your eyes?
A Separation,"Ugly truth, sweet lies."
A Dangerous Method,Why deny what you desire the most.
Warrior,Fight for Family
The Ides of March,Ambition seduces. Power corrupts.
Kill List,
Killer Elite,May the best man live.
50/50,It takes a pair to beat the odds.
Clapham Junction,Their lives will never be the same.
Superman and the Mole-Men,ON THE SCREEN...America's Favorite Hero!
The Artist,A Breath Of Fresh Vintage Air
Take Shelter,
The Myth of the American Sleepover,
Real Steel,"If you get one shot, make it real."
Buck,There's no wisdom worth having that isn't hard won
Footloose,There comes a time to cut loose
The Thing,It's Not Human. Yet.
Tyrannosaur,
Martha Marcy May Marlene,You can get away. But you can never escape.
We Need to Talk About Kevin,
The Three Musketeers,Every legend has a new beginning.
In Time,Time Is Power
Margaret,
Carnage,A new comedy of no manners
Margin Call,Be first. Be smarter. Or cheat.
Paranormal Activity 3,It Runs In The Family
Johnny English Reborn,One man. One mission. No chance.
Abduction,They stole his life. He's taking it back.
Shame,
What's Your Number?,Ally's looking for the best ex of her life.
Headhunters,The hunt is on.
Batman: Year One,A merciless crime turns a man into an outlaw.
Tower Heist,Ordinary guys. An extraordinary robbery.
J. Edgar,The most powerful man in the world.
The Double,Keep your enemies close
The Adventures of Tintin,"This year, discover how far adventure will take you."
George Harrison: Living in the Material World,
Hugo,One of the most legendary directors of our time takes you on an extraordinary adventure.
Trespass,When terror is at your doorstep. You can run. Or you can fight.
Immortals,The Gods need a hero.
Jack and Jill,His twin sister is coming for the holidays... ...and it ain't pretty.
"Oslo, August 31st",
The Descendants,The South Pacific ain't that terrific.
The Muppets,They're closer than you think.
The Twilight Saga: Breaking Dawn - Part 1,Forever is just the beginning
War Horse,Separated by War. Tested by Battle. Bound by Friendship.
The Rum Diary,One part outrage. One part justice. Three parts rum. Mix well.
My Week with Marilyn,
Weekend,A (sort of) love story between two guys over a cold weekend in October.
Bunraku,A civilized weapon for uncivilized times
The Little Colonel,
The Sitter,Worst. Babysitter. Ever.
Extremely Loud & Incredibly Close,"This is not a story about September 11th, it's a story about every day after."
Asterix and the Vikings,
Arthur Christmas,Ever wonder how 2 Billion presents get delivered all in 1 night?
Violet & Daisy,Too much sugar can kill you.
Bullet to the Head,Revenge Never Gets Old.
The Expendables 2,Back for War.
The Snowman,
The Hunger Games,May The Odds Be Ever In Your Favor.
Womb,What are the consequences of giving birth to your dead boyfriend?
The Dark Knight Rises,The Legend Ends
The Bourne Legacy,There Was Never Just One
Sherlock Holmes: A Game of Shadows,The game is afoot.
Life in a Day,The story of one day on Earth.
Stagecoach,"These Were The Ten Who Fought Indians, Outlaws And Each Other As They Rode To Greatness On The Stagecoach To Cheyenne!"
Toronto Stories,
Young Adult,Everyone gets old. Not everyone grows up.
New Year's Eve,The one night anything is possible.
Mission: Impossible - Ghost Protocol,No Plan. No Backup. No Choice.
We Bought a Zoo,A True Zoo Story
The Girl with the Dragon Tattoo,Evil shall with evil be expelled.
The Darkest Hour,Survive The Holidays
Albert Nobbs,A man with a secret. A woman with a dream.
Salvation Boulevard,Faith alone doesn’t cut it anymore
Friends with Kids,Love. Happiness. Kids. Pick two.
Contraband,What would you hide to protect your family?
Being Elmo: A Puppeteer's Journey,
Joyful Noise,Dream a whole lot louder
Dolphin Tale,Inspired by the amazing true story of Winter.
The Iron Lady,Never Compromise
Albatross,Beautiful. smart. talented. trouble.
The Revenant,What could be worse than having your best friend die?
Underworld: Awakening,Vengeance Returns
The Grey,Live or Die on This Day
Man on a Ledge,You can only push an innocent man so far
Descongelate!,
Haywire,They left her no choice.
The Whistleblower,Nothing is more dangerous than the truth.
The Human Centipede 2 (Full Sequence),100% medically INaccurate.
Fados,
Seeking Justice,Vengeance always has a price
Hostel: Part III,Do you feel lucky?
The Disappearance of Haruhi Suzumiya,
Red Tails,High-Octane Action and Daring Dogfights!
The Intouchables,Sometimes you have to reach into someone else's world to find out what's missing in your own.
One for the Money,She's looking for a few not-so-good men
The Innkeepers,Some guests never checked out.
Chronicle,What are you capable of?
Dottie Gets Spanked,
The Art of Getting By,The toughest lesson is love.
Dylan Moran: Monster,
"Dylan Moran: Like, Totally...",
Dylan Moran: What It Is,Joyous. In a bitter sort of way
Safe House,No one is safe
The Vow,
Louis C.K.: Live at the Beacon Theater,Buy The Thing
Holding Trevor,
"For a Good Time, Call...",Lose your hang-ups. Find your calling.
Journey 2: The Mysterious Island,Believe the Impossible. Discover the Incredible.
Perfect Sense,Without love there is nothing.
Kokowaah,
Hearts of the West,"Jeff Brides is Lewis Tater, the Iowa farmboy who blazed a trail across the barren wastes of Hollywood and Vine in MGM's comedy surprise ""Hearts of the West."""
Ghost Rider: Spirit of Vengeance,He Rides Again.
Prayers for Bobby,"Before you echo ""amen"" in your home and place of worship. Think. Think and remember a child is listening."
Love Wrecked,She's shipwrecked on an island with the guy of her dreams. The last thing she wants is to be rescued.
The Civil War,It divided a country. It created a nation.
October Baby,Every Life Is Beautiful
Gone,No one believes her. Nothing will stop her.
Courageous,Honor Begins at Home.
Project X,Witness it
The Lorax,Meet The Original Force Of Nature
The Big Year,Everyone is searching for something.
Trailer Park Boys,
Undefeated,Character will be revealed.
This Means War,It's SPY Against SPY
John Carter,"Lost in our world, found in another."
Starbuck,
Forks Over Knives,Warning - This movie could save your life!
Goon,"Meet Doug, The Nicest Guy You'll Ever Fight."
Game Change,Politics would never be the same.
21 Jump Street,They thought the streets were mean. Then they went back to high school.
"Jeff, Who Lives at Home",The first step to finding your destiny is leaving your mother's basement.
Lockout,Take no prisoners.
Casa De Mi Padre,Funniest movie you'll ever read.
Corman's World: Exploits of a Hollywood Rebel,Some men dream of conquering the world. Roger Corman created his own.
Jiro Dreams of Sushi,Fall in love with your work
Wrath of the Titans,Feel the Wrath
Iron Sky,We come in peace!
American Reunion,Save the best piece for last.
The Raid,"1 Ruthless Crime Lord, 20 Elite Cops, 30 Floors of Hell"
The Cabin in the Woods,If you hear a strange sound outside... have sex
God Bless America,"Taking out the trash, one jerk at a time."
The Three Stooges,Just Say Moe.
The Raven,The only one who can stop a serial killer is the man who inspired him.
The Big Bang,The search for the ultimate missing person ends... at the beginning of time.
Mirror Mirror,The Snow White legend comes alive.
Battleship,The Battle for Earth Begins at Sea
Louis Theroux: America's Most Hated Family in Crisis,Return to the Most Hated Church in America
The Best Exotic Marigold Hotel,Share the journey. Share the laughter.
The Five-Year Engagement,A comedy about the journey between popping the question and tying the knot.
Think Like a Man,Let the mind games begin.
The Lucky One,
Dark Shadows,Every Family Has Its Demons
The Scorpion King: Rise of a Warrior,See how the legend of The Scorpion King began!
96 Minutes,Out of options. Out of control. Out of time.
Across the Line: The Exodus of Charlie Wright,Redemption has its price.
The Dictator,kurd
Men in Black 3,They are back... in time.
Snow White and the Huntsman,The Fairytale is Over
Sound of My Voice,
The Pirates! In an Adventure with Scientists!,It's A Plunderful Life
Prometheus,The Search for Our Beginning Could Lead to Our End.
Bernie,A story so unbelievable it must be true.
Inhale,"One man, one chance, no rules."
Take This Waltz,
Sound of Noise,The first musical cop movie
Wanderlust,Leave your baggage behind
Moonrise Kingdom,A tormenting and surprising story of children and adults during the stormy days of the summer of 1965.
Kahaani,
A Thousand Words,He only has 1000 words left to discover what matters the most.
Safety Not Guaranteed,What would you go back for?
Madagascar 3: Europe's Most Wanted,"Six years ago, they disappeared without a trace. Next summer, they finally resurface."
Eaux d'artifice,
Inauguration of the Pleasure Dome,
Your Sister's Sister,A comedy about doing the right thing with the wrong person.
Dragon Ball: Sleeping Princess in Devil's Castle,
Dragon Ball Z: The World's Strongest,Deep in the ice is earth's greatest threat that can only be stopped by one man.
Brave,Change your fate.
Dragon Ball Z: The Tree of Might,
What to Expect When You're Expecting,It's too late to pull out now.
To Rome with Love,
Abraham Lincoln: Vampire Hunter,Are you a patriot or a vampire?
Rock of Ages,Nothin' but a good time
Seeking a Friend for the End of the World,Nice knowing you.
Presto,An Amazing Five Minutes Of Animated Fun
Jack-Jack Attack,
Boundin',
One Man Band,Vibrant and Whimsical!
Ted,Ted is coming.
The Giant Mechanical Man,
Magic Mike,Work all day. Work it all night.
Dragon Ball Z: Return of Cooler,
Dragon Ball Z: Cooler's Revenge,
Dragon Ball Z: Broly - The Legendary Super Saiyan,
Cleanskin,Fight Fire With Fire
The Amazing Spider-Man,The untold story begins.
Ice Age: Continental Drift,"Manny, Diego, and Sid embark upon another adventure after their continent is set adrift."
Beasts of the Southern Wild,I  gotta take care of mine.
People Like Us,Find your family.
Savages,Young Beautiful Deadly.
Geri's Game,Sometimes you don't need more than one person to not feel alone
The Watch,Got Protection?
The Adventures of Mary-Kate & Ashley: The Case of the United States Navy Adventure,
2 Days in New York,
Terminal USA,
Killer Joe,A Totally Deep-Fried Texas Redneck Trailer Park Murder Story.
Dragon Ball Z: Bio-Broly,
Dragon Ball Z: Fusion Reborn,
For the Birds,
Ruby Sparks,She's Out Of His Mind
Total Recall,What Is Real?
The Immature,
Dragon Ball Z: Wrath of the Dragon,
Dragon Ball Z: Bardock - The Father of Goku,
Dragon Ball Z: The History of Trunks,
Dragon Ball GT: A Hero's Legacy,
Sidewalls,
Skyfall,Think on your sins.
The Campaign,May The Best Loser Win.
Brake,The only way out is to give in
The Queen of Versailles,
ParaNorman,It's all fun and games until someone raises the dead.
Celeste & Jesse Forever,A Loved Story
Broken,
Premium Rush,Ride Like Hell
Lawless,"When the law became corrupt, outlaws became heroes."
Piranha 3DD,Twice the Teeth. Twice the Terror.
Sleepwalk with Me,A comedy for anyone who's ever had a dream. And then jumped out a window.
Searching for Sugar Man,Great Art Always Survives
The Possession,Fear The Demon That Doesn't Fear God
Conception,It takes more than sex to make a baby
Paradise Lost 3: Purgatory,The complete inside story of the West Memphis Three.
Bachelorette,Old habits party hard.
Pitch Perfect,Get pitch slapped.
The Cold Light of Day,Be careful who you trust.
Samsara,
Looper,"Hunted By Your Future, Haunted By Your Past"
That's My Boy,The story of a child… and his son.
Emergo,The First Real Ghost Story.
Robot & Frank,Friendship doesn't have an off switch
Ai Weiwei: Never Sorry,Can an artist change China?
Resident Evil: Retribution,The Ultimate Battle Begins
Lola Versus,"Lola vs. Sex, Love, Lola, The World."
The Master,Every Man Needs a Guide
Dredd,Judgement is coming
Kismet,FAMED STAGE HIT GLORIFIED ON THE SCREEN!
End of Watch,Every moment of your life they stand watch
V/H/S,This collection is killer.
The Perks of Being a Wallflower,We are infinite.
The Hunt,The lie is spreading.
Holy Motors,"From dawn to dusk, a few hours in the shadowy life of a mystic man named Monsieur Oscar."
Sparkle,Celebrate the legend.
Taken 2,First they took his daughter. Now they're coming for him.
The Paperboy,
The Making of a Legend: Gone with the Wind,
A Royal Affair,Their love affair would divide a nation.
Kon-Tiki,
Marley,
Sinister,"Once you see him, nothing can save you."
Hotel Transylvania,Where monsters go to get away from it all
Side by Side,Can film survive our digital future?
Shakespeare Wallah,
Argo,The movie was fake. The mission was real.
Seven Psychopaths,They Won't Take Any Shih Tzu.
Liberal Arts,
The House I Live In,The war on drugs has never been about drugs.
West of Memphis,
Catch.44,"If you are going down, take everyone with you"
Tony,Keeping a neighbourhood watch.
How to Survive a Plague,
56 Up,
Alex Cross,Don't Ever Cross Alex Cross
The Ambassador,"To Break The Story, He Must Become The Story"
Cloud Atlas,Everything is Connected
Hellboy: The Seeds of Creation,
Pumping Iron II: The Women,
The Patience Stone,She achieved her independence by telling stories filled with forbidden secrets.
Here Comes the Boom,No one will fight for his students like Mr. Voss.
Mental,Every family is a little bit mental.
Killing Them Softly,In America you're on your own.
The Imposter,There are two sides to every lie.
The Sessions,The festival hit of the year!
What Richard Did,
Wreck-It Ralph,The story of a regular guy just looking for a little wreck-ognition.
Silver Linings Playbook,Watch For The Signs
Flight,
Anna Karenina,An epic story of love.
Life of Pi,Believe The Unbelievable
Excision,Heal The Sickness
Union Square,
Student of the Year,"Student Of The Year, read, Movie, Preview"
Amour,
Jackass 3.5,
Indie Game: The Movie,
"Batman: The Dark Knight Returns, Part 1",Old heroes never die. They just get darker.
Capital,
Lincoln,"With the moral courage and fierce determination to succeed, his choices will change the fate of generations to come."
Nature Calls,Manhood. It's the only badge that matters.
Vamps,Dating Sucks
10 Years,Who Got Fat? Who Didn't Change? Who Got Rich? Who Got Hot?
Rise of the Guardians,You better believe.
A Fantastic Fear of Everything,
Deadfall,Twisty thriller... a wild ride.
Halo 4: Forward Unto Dawn,The story of Halo 4 begins at dawn.
Rebecca of Sunnybrook Farm,
Baby Take a Bow,
The Sleeping Car Murder,
Paperman,"Delicate, charming and sweet."
Hitchcock,Good evening.
Caesar Must Die,
From Up on Poppy Hill,I look up as I walk...
Redline,
Just Around the Corner,
Burn Up!,"Big Crimes, Big Busts!"
Jazz,
Little Miss Broadway,
The Hobbit: An Unexpected Journey,From the smallest beginnings come the greatest legends.
Kung Fu Cult Master,
Hyde Park on Hudson,The President. The First Lady. The King. The Queen. The Mother. The Mistress...One weekend would unite two great nations...After cocktails of course.
How to Make Love to a Woman,A comedy of miscommunication between the sheets.
Violeta Went to Heaven,Creation is a bird without a flight plan
Yossi,
Zero Dark Thirty,The Greatest Manhunt in History
Neighboring Sounds,
Fire with Fire,Revenge has its own set of rules.
Warm Bodies,Cold body. Warm heart.
Wrong,
Our Little Girl,
Poor Little Rich Girl,
The Guilt Trip,Get ready for one mother of a road trip
Jack Reacher,The Law Has Limits. He Does Not.
Django Unchained,"Life, liberty and the pursuit of vengeance."
This Is 40,The sort-of sequel to 'Knocked Up'
The Impossible,Nothing is more powerful than the human spirit.
Les Misérables,Fight. Dream. Hope. Love.
Quartet,Four Friends Looking For A Little Harmony
Stand Up and Cheer!,
Stowaway,She sings and speaks Chinese!
Susannah of the Mounties,Flaming arrows! Cracking rifles!
Would You Rather,Tell yourself it's just a game.
Maximum Conviction,Soldier of Vengeance
Parental Guidance,Here come the grandparents.  There go the rules.
John Dies at the End,Just so you know... they're sorry for anything that's about to happen.
The Central Park Five,
The Collection,Every great collector has a vision.
Promised Land,What's your price?
Judas Kiss,"If you had a second chance, would you grab it?"
Role/Play,Who are you pretending to be?
Aftermath,
Eat Sleep Die,
Gangster Squad,No Names. No Badges. No Mercy.
The Company You Keep,The greatest manhunt in history.
It's Such a Beautiful Day,
Whores' Glory,
Beware of Mr. Baker,
"Batman: The Dark Knight Returns, Part 2",Justice Returns... Vengeance Returns... Redemption Comes to Gotham.
Paul Williams Still Alive,
Everything or Nothing,
Mama,A Mother's Love is Forever
Upstream Color,
Shadow Dancer,
Keep the Lights On,
Beauty Is Embarrassing,
Girl Model,
Movie 43,The biggest cast ever assembled for the most outrageous comedy ever made.
The Pervert's Guide to Ideology,
Sightseers,Death has a ginger beard.
Hansel & Gretel: Witch Hunters,Classic tale. New twist.
Why Stop Now?,A Funny Thing Happened on the Way to Rehab.
Blancanieves,
The Liability,They had their turn... now it's his
Angst,Based on a true story.
Stand Up Guys,They don't make 'em like they used to.
Call Me Kuchu,
Side Effects,One pill can change your life.
Identity Thief,She's having the time of his life
Beautiful Creatures,Dark secrets will come to light.
A Good Day to Die Hard,Yippee Ki-Yay Mother Russia
The World Before Her,
Safe Haven,You know it when you find it
Frozen Planet,
The Act of Killing,"A story of killers who win, and the society they build."
Room 237,Some movies stay with you forever... and ever... and ever.
Before Midnight,Everything's better with maturity.
